name,id,type
갈색 턱수염,1010000,face accessory
동그란 수염,1010001,face accessory
남자닌자 마스크,1010002,face accessory
면도자국,1010003,face accessory
해신 장보고 수염,1010004,face accessory
해신 염장 수염,1010005,face accessory
야쿠자 흉터,1010006,face accessory
차가운 메이크업,1010007,face accessory
[블루] 블레이 얼굴장식,1010008,face accessory
[블랙] 블레이 얼굴장식,1010009,face accessory
여자닌자 마스크,1011000,face accessory
sf닌자 마스크,1011001,face accessory
하트마크,1012040,face accessory
주근깨,1011003,face accessory
아련한 메이크업,1011006,face accessory
[블루] 블레어 얼굴장식,1011007,face accessory
[블랙] 블레어 얼굴장식,1011008,face accessory
바람의 흉터,1012000,face accessory
빈디,1012001,face accessory
가죽 마스크,1012002,face accessory
연지곤지,1012003,face accessory
안면위장,1012004,face accessory
멍,1012005,face accessory
장미 한 송이,1012006,face accessory
산타 수염,1012007,face accessory
모자이크,1012008,face accessory
키스 마크,1012009,face accessory
히노마루,1012010,face accessory
루돌프의 빨간코,1012453,face accessory
흰색 경극가면,1012021,face accessory
빨간색 경극가면,1012022,face accessory
노란색 경극가면,1012023,face accessory
엘레강스 수염,1012024,face accessory
인디언 페인팅,1012025,face accessory
관우 수염,1012026,face accessory
반창고,1012027,face accessory
홍조,1012028,face accessory
눈 흉터,1012030,face accessory
잎사귀,1012031,face accessory
식빵,1012032,face accessory
유니언 페인팅(영국),1012033,face accessory
트리컬러 페인팅 (프랑스),1012034,face accessory
브라질리언 페인팅 (브라질),1012035,face accessory
분데스 페인팅 (독일),1012036,face accessory
포르투기스 페인팅 (포르투갈),1012037,face accessory
태극 페인팅 (대한민국),1012039,face accessory
미이라 마스크,1012044,face accessory
백작님 수염,1012047,face accessory
커다란 흉터,1012048,face accessory
프랑켄슈타인 마스크,1012050,face accessory
두루마리 문서,1012052,face accessory
분노,1012053,face accessory
절망,1012054,face accessory
반달 홍조,1012055,face accessory
개코,1012056,face accessory
힘센 피노키오 코,1012303,face accessory
민첩한 피노키오 코,1012304,face accessory
현명한 피노키오 코,1012305,face accessory
행운의 피노키오 코,1012306,face accessory
마일드핑크 립스틱,1012062,face accessory
캣츠 분장,1012063,face accessory
딸기맛 아이스바,1012416,face accessory
초코맛 아이스바,1012417,face accessory
메론맛 아이스바,1012419,face accessory
수박맛 아이스바,1012418,face accessory
메롱,1012074,face accessory
식은땀,1012075,face accessory
웃는 얼굴가면,1012076,face accessory
우는 얼굴가면,1012077,face accessory
화내는 얼굴가면,1012078,face accessory
우울한 얼굴가면,1012079,face accessory
도톰한 입술,1012080,face accessory
귀까지 빨개,1012082,face accessory
인형핑크,1012083,face accessory
화이트 마우스 분장,1012088,face accessory
딸기맛 풍선껌,1012085,face accessory
사과맛 풍선껌,1012096,face accessory
삑삑이,1012097,face accessory
메이플 리프,1012370,face accessory
투명 얼굴장식,1012289,face accessory
쁘띠베베,1012105,face accessory
삐약삐약 얼굴장식,1012132,face accessory
스타 페이스 페인팅,1012137,face accessory
달래 스티커,1012139,face accessory
나리 스티커,1012140,face accessory
토끼풀 스티커,1012141,face accessory
장난감 코,1012146,face accessory
루돌프의 빛나는 코,1012161,face accessory
오렌지 발그레,1012176,face accessory
허름한 복면,1012187,face accessory
초록색 복면,1012311,face accessory
파란색 복면,1012312,face accessory
보라색 복면,1012313,face accessory
듀얼블레이드 복면,1012314,face accessory
그림자 각인,1012192,face accessory
보라색 가면무도회,1012201,face accessory
빨간색 무도회 가면,1012296,face accessory
그레이 워리어 심볼,1012209,face accessory
블루 워리어 심볼,1012210,face accessory
레드 워리어 심볼,1012211,face accessory
샤이니 그레이 워리어 심볼,1012212,face accessory
샤이니 블루 워리어 심볼,1012213,face accessory
샤이니 레드 워리어 심볼,1012214,face accessory
그레이 매지션 심볼,1012215,face accessory
블루 매지션 심볼,1012216,face accessory
레드 매지션 심볼,1012217,face accessory
샤이니 그레이 매지션 심볼,1012218,face accessory
샤이니 블루 매지션 심볼,1012219,face accessory
샤이니 레드 매지션 심볼,1012220,face accessory
그레이 아처 심볼,1012221,face accessory
블루 아처 심볼,1012222,face accessory
레드 아처 심볼,1012223,face accessory
샤이니 그레이 아처 심볼,1012224,face accessory
샤이니 블루 아처 심볼,1012225,face accessory
샤이니 레드 아처 심볼,1012226,face accessory
그레이 시프 심볼,1012227,face accessory
블루 시프 심볼,1012228,face accessory
레드 시프 심볼,1012229,face accessory
샤이니 그레이 시프 심볼,1012230,face accessory
샤이니 블루 시프 심볼,1012231,face accessory
샤이니 레드 시프 심볼,1012232,face accessory
그레이 파이렛 심볼,1012233,face accessory
블루 파이렛 심볼,1012234,face accessory
레드 파이렛 심볼,1012235,face accessory
샤이니 그레이 파이렛 심볼,1012236,face accessory
샤이니 블루 파이렛 심볼,1012237,face accessory
샤이니 레드 파이렛 심볼,1012238,face accessory
라이징 썬 페이스페인팅,1012239,face accessory
블러드 마스크,1012309,face accessory
샤이니 레드 스페셜 심볼,1012252,face accessory
블럭 그레이 심볼,1012258,face accessory
고급 블럭 그레이 심볼,1012259,face accessory
2011 고고학자의 얼굴장식,1012265,face accessory
슈피겔만의 콧수염,1012270,face accessory
마족의 표식1,1012276,face accessory
마족의 표식2,1012277,face accessory
마족의 표식3,1012278,face accessory
마족의 표식4,1012279,face accessory
마족의 표식5,1012280,face accessory
얼음결정 페이스페인팅,1012328,face accessory
블레이징썬 페이스페인팅,1012283,face accessory
화이트 프리미엄 심볼,1012284,face accessory
다크 프리미엄 심볼,1012285,face accessory
레전드 메이플 리프,1012308,face accessory
두근두근 첫사랑,1012329,face accessory
우는 얼굴 가면,1012292,face accessory
우울한 얼굴 가면,1012293,face accessory
웃는 얼굴 가면,1012294,face accessory
화내는 얼굴 가면,1012295,face accessory
보라색 무도회 가면,1012297,face accessory
<저스티스>얼음결정 페이스페인팅,1012301,face accessory
<저스티스>두근두근 첫사랑,1012302,face accessory
발렌타인 달콤한 초코,1012310,face accessory
2012 발굴된 유물 장식,1012317,face accessory
9주년 메이플 리프,1012318,face accessory
뉴 얼음결정 페이스페인팅,1012321,face accessory
미스틱 얼굴장식,1012331,face accessory
아카이럼의 수염,1012332,face accessory
화들짝 메이플 리프,1012342,face accessory
블러드마스크,1012343,face accessory
플라워 타투,1012346,face accessory
2012 루돌프의 빨간코,1012362,face accessory
레베카의 블러드 마스크,1012385,face accessory
레베카의 메이플 리프,1012386,face accessory
레베카의 피노키오 코,1012387,face accessory
3500일 메이플 리프,1012352,face accessory
조금 반짝이는 코 1단계,1012354,face accessory
조금 반짝이는 코 2단계,1012355,face accessory
조금 반짝이는 코 3단계,1012356,face accessory
많이 반짝이는 코 1단계,1012357,face accessory
많이 반짝이는 코 2단계,1012358,face accessory
많이 반짝이는 코 3딘계,1012359,face accessory
매우 반짝이는 코,1012360,face accessory
깨끗한 얼굴,1012361,face accessory
제너레이트 마크,1012363,face accessory
무한의 피노키오 코,1012364,face accessory
요정의 피노키오 코,1012365,face accessory
좀비 사냥꾼 마스크,1012366,face accessory
야광코,1012367,face accessory
밝은 야광코,1012368,face accessory
눈부신 야광코,1012369,face accessory
손바닥 얼굴장식,1012437,face accessory
박물왕중왕 스타일 장식,1012372,face accessory
슈피겔만 스트롱 머스태쉬,1012373,face accessory
